0,un peu de respect !,1,4
1,un peu de respect !,1,20
2,toutes mes excuses revenez nous voir svp ! ,1,93
3,toutes mes excuses revenez nous voir svp ! ,1,35
4,un peu de respect !,0,125
5,toutes mes excuses revenez nous voir svp ! ,0,59
6,toutes mes excuses revenez nous voir svp ! ,1,52
7,toutes mes excuses revenez nous voir svp ! ,1,61
8,toutes mes excuses revenez nous voir svp ! ,1,48
9,un peu de respect !,1,145
10,toutes mes excuses revenez nous voir svp ! ,1,103
11,toutes mes excuses revenez nous voir svp ! ,0,172
12,un peu de respect !,1,107
13,un peu de respect !,0,142
14,toutes mes excuses revenez nous voir svp ! ,1,180
15,toutes mes excuses revenez nous voir svp ! ,1,181
16,un peu de respect !,1,3
17,un peu de respect !,1,166
18,un peu de respect !,0,152
19,toutes mes excuses revenez nous voir svp ! ,1,162
20,un peu de respect !,0,132
21,un peu de respect !,1,87
22,merci revenez nous voir svp ! ,1,66
23,un peu de respect !,1,100
24,toutes mes excuses revenez nous voir svp ! ,1,47
25,merci revenez nous voir !,1,81
26,un peu de respect !,1,69
27,toutes mes excuses revenez nous voir svp ! ,1,6
28,un peu de respect !,1,51
29,toutes mes excuses revenez nous voir svp ! ,1,176
30,un peu de respect !,1,153
31,toutes mes excuses revenez nous voir svp ! ,1,31
32,toutes mes excuses revenez nous voir svp ! ,1,102
33,un peu de respect !,1,12
34,un peu de respect !,1,13
35,un peu de respect !,1,68
36,un peu de respect !,1,172
37,un peu de respect !,1,86
38,toutes mes excuses revenez nous voir svp ! ,1,126
39,un peu de respect !,1,42
40,un peu de respect !,1,10
41,un peu de respect !,1,135
42,un peu de respect !,1,178
43,un peu de respect !,1,79
44,un peu de respect !,1,5
45,un peu de respect !,1,160
46,toutes mes excuses revenez nous voir svp ! ,1,177
47,toutes mes excuses revenez nous voir svp ! ,1,163
48,un peu de respect !,1,88
49,toutes mes excuses revenez nous voir svp ! ,1,40
