0,105.167.100.107,2013-1-22,4,C'est un etablissement super,1,11,9
1,4.186.157.111,2013-1-12,3,C'est un etablissement super,1,6,9
2,253.168.73.79,2013-1-11,5,C'est un etablissement super,3,4,9
3,187.253.3.191,2013-1-29,3,C'est un etablissement calme,1,16,9
4,160.188.195.204,2013-1-25,1,C'est un etablissement a chier,2,15,9
5,159.123.50.167,2013-1-20,3,C'est un etablissement recommande,2,6,9
6,116.84.162.126,2013-1-13,4,C'est un etablissement de bonne qualite,1,1,9
7,78.36.11.36,2013-1-8,2,C'est un etablissement de bonne qualite,3,11,9
8,108.30.183.3,2013-1-24,5,C'est un etablissement tres acceuillant,3,12,9
9,36.213.218.22,2013-1-26,4,C'est un etablissement calme,1,8,9
10,187.21.133.101,2013-2-24,2,C'est un etablissement de bonne qualite,2,11,9
11,102.65.245.126,2013-2-28,3,C'est un etablissement tres design,2,13,9
12,102.65.245.126,2013-2-28,3,C'est un etablissement tres design,2,0,9
13,96.67.246.116,2013-2-12,3,C'est un etablissement tres design,4,1,9
14,174.58.7.171,2013-2-2,0,C'est un etablissement de merde,2,1,9
15,106.148.101.14,2013-2-27,4,C'est un etablissement tres acceuillant,4,13,9
16,107.141.66.113,2013-2-18,1,C'est un etablissement propre,1,12,9
17,67.179.77.206,2013-2-12,3,C'est un etablissement super,2,6,9
18,81.87.252.126,2013-2-28,3,C'est un etablissement tres design,1,2,9
19,70.131.6.74,2013-2-22,4,C'est un etablissement propre,1,6,9
20,61.12.206.234,2013-3-6,1,C'est un etablissement a chier,1,4,9
21,170.142.35.112,2013-3-29,0,C'est un etablissement de merde,1,2,9
22,152.160.177.167,2013-3-5,0,C'est un etablissement de merde,3,3,9
23,164.199.192.3,2013-3-7,3,C'est un etablissement recommande,2,2,9
24,216.179.139.196,2013-3-21,4,C'est un etablissement calme,2,9,9
25,208.163.168.194,2013-3-19,1,C'est un etablissement calme,1,4,9
26,254.18.133.7,2013-3-12,0,C'est un etablissement a chier,3,7,9
27,88.45.238.44,2013-3-27,2,C'est un etablissement propre,1,0,9
28,150.66.128.165,2013-3-15,4,C'est un etablissement branche,3,12,9
29,253.220.19.32,2013-3-1,2,C'est un etablissement tres acceuillant,3,6,9
30,195.173.153.55,2013-4-30,2,C'est un etablissement a chier,3,11,9
31,58.245.213.199,2013-4-6,2,C'est un etablissement pas tres chaleureux,4,7,9
32,57.200.179.251,2013-4-26,0,C'est un etablissement de merde,2,10,9
33,134.120.112.76,2013-4-19,5,C'est un etablissement recommande,1,0,9
34,77.175.223.209,2013-4-8,2,C'est un etablissement tres acceuillant,2,12,9
35,172.227.62.217,2013-4-1,1,C'est un etablissement deconseille,2,10,9
36,232.187.198.204,2013-4-6,3,C'est un etablissement recommande,1,12,9
37,248.4.177.168,2013-4-7,3,C'est un etablissement deconseille,3,6,9
38,217.227.232.10,2013-4-8,1,C'est un etablissement a chier,2,14,9
39,128.238.88.233,2013-4-6,5,C'est un etablissement chic,1,10,9
40,228.220.68.100,2013-5-3,1,C'est un etablissement deconseille,2,15,9
41,121.221.108.105,2013-5-23,3,C'est un etablissement chic,1,6,9
42,32.215.28.207,2013-5-20,5,C'est un etablissement de bonne qualite,2,1,9
43,155.1.28.37,2013-5-13,5,C'est un etablissement propre,2,16,9
44,196.176.203.126,2013-5-2,5,C'est un etablissement chic,3,9,9
45,156.110.109.236,2013-5-26,0,C'est un etablissement de merde,1,14,9
46,173.211.229.25,2013-5-23,2,C'est un etablissement deconseille,1,11,9
47,18.189.137.31,2013-5-28,3,C'est un etablissement tres acceuillant,1,15,9
48,225.201.1.220,2013-5-20,3,C'est un etablissement tres acceuillant,1,14,9
49,68.115.224.222,2013-5-11,3,C'est un etablissement recommande,1,3,9
50,137.45.52.253,2013-6-6,2,C'est un etablissement super,2,10,9
51,67.226.233.212,2013-6-28,3,C'est un etablissement recommande,1,10,9
52,234.195.127.120,2013-6-13,2,C'est un etablissement deconseille,2,10,9
53,207.57.96.82,2013-6-17,2,C'est un etablissement de merde,2,0,9
54,145.17.205.29,2013-6-1,4,C'est un etablissement chic,2,5,9
55,250.163.69.127,2013-6-11,1,C'est un etablissement deconseille,4,15,9
56,62.29.194.129,2013-6-23,3,C'est un etablissement cool,1,11,9
57,11.185.100.112,2013-6-2,3,C'est un etablissement de bonne qualite,1,15,9
58,234.198.168.193,2013-6-27,4,C'est un etablissement chic,2,15,9
59,67.191.170.160,2013-6-18,0,C'est un etablissement de merde,1,3,9
60,16.102.73.164,2013-7-18,3,C'est un etablissement super,1,1,9
61,184.20.58.213,2013-7-11,5,C'est un etablissement pas tres chaleureux,3,6,9
62,160.211.105.184,2013-7-16,5,C'est un etablissement pas tres chaleureux,1,16,9
63,138.95.45.48,2013-7-17,5,C'est un etablissement tres design,1,6,9
64,110.99.6.176,2013-7-24,4,C'est un etablissement de bonne qualite,1,0,9
65,239.190.253.74,2013-7-20,4,C'est un etablissement branche,4,4,9
66,25.224.62.242,2013-7-18,3,C'est un etablissement recommande,4,7,9
67,188.163.241.158,2013-7-18,4,C'est un etablissement branche,1,0,9
68,25.81.175.151,2013-7-1,3,C'est un etablissement recommande,1,7,9
69,2.39.117.208,2013-7-10,4,C'est un etablissement propre,4,14,9
70,175.130.67.10,2013-8-17,4,C'est un etablissement tres acceuillant,1,12,9
71,199.63.125.153,2013-8-5,4,C'est un etablissement cool,1,7,9
72,24.33.54.136,2013-8-22,3,C'est un etablissement tres design,2,14,9
73,193.207.138.206,2013-8-5,3,C'est un etablissement cool,3,4,9
74,247.181.246.3,2013-8-18,4,C'est un etablissement tres design,4,9,9
75,188.46.68.204,2013-8-30,1,C'est un etablissement de merde,4,9,9
76,170.21.226.253,2013-8-27,4,C'est un etablissement branche,4,16,9
77,156.48.128.83,2013-8-2,2,C'est un etablissement deconseille,2,3,9
78,171.132.140.43,2013-8-10,2,C'est un etablissement a chier,1,7,9
79,34.110.220.155,2013-8-21,2,C'est un etablissement cool,4,16,9
80,47.39.50.135,2013-9-26,3,C'est un etablissement tres acceuillant,1,6,9
81,68.232.186.137,2013-9-20,4,C'est un etablissement tres acceuillant,4,8,9
82,243.188.151.219,2013-9-21,2,C'est un etablissement de bonne qualite,2,9,9
83,228.106.190.99,2013-9-1,3,C'est un etablissement calme,4,3,9
84,42.187.54.126,2013-9-4,3,C'est un etablissement tres acceuillant,1,9,9
85,185.26.157.113,2013-9-24,3,C'est un etablissement calme,3,15,9
86,83.200.180.121,2013-9-10,5,C'est un etablissement calme,4,2,9
87,176.7.76.88,2013-9-11,2,C'est un etablissement a chier,3,8,9
88,181.148.148.188,2013-9-5,1,C'est un etablissement tres acceuillant,2,1,9
89,237.111.239.193,2013-9-9,3,C'est un etablissement cool,2,8,9
90,112.36.218.93,2013-10-18,5,C'est un etablissement cool,3,8,9
91,143.219.245.8,2013-10-11,3,C'est un etablissement recommande,4,13,9
92,33.165.212.131,2013-10-12,5,C'est un etablissement de bonne qualite,1,1,9
93,129.143.125.49,2013-10-17,3,C'est un etablissement calme,2,4,9
94,64.12.188.249,2013-10-23,4,C'est un etablissement recommande,2,12,9
95,202.60.239.83,2013-10-16,3,C'est un etablissement cool,2,0,9
96,164.62.16.248,2013-10-2,3,C'est un etablissement calme,1,6,9
97,166.29.215.214,2013-10-18,4,C'est un etablissement deconseille,1,8,9
98,245.146.89.118,2013-10-27,1,C'est un etablissement tres acceuillant,2,3,9
99,240.98.157.20,2013-10-29,2,C'est un etablissement de merde,3,8,9
